parcl_id,country,geoid,state_fips_code,name,state_abbreviation,region,location_type,total_population,median_income,parcl_exchange_market,pricefeed_market,case_shiller_10_market,case_shiller_20_market
2899773,USA,20740,,"Eau Claire, Wi",,,CBSA,171951,70009,0,0,0,0
2899810,USA,15500,,"Burlington, Nc",,,CBSA,171779,60866,0,0,0,0
2899615,USA,14010,,"Bloomington, Il",,,CBSA,171284,75356,0,0,0,0
2900214,USA,36780,,"Oshkosh-Neenah, Wi",,,CBSA,171197,70041,0,0,0,0
2899927,USA,24780,,"Greenville, Nc",,,CBSA,171196,54915,0,0,0,0
2900477,USA,47940,,"Waterloo-Cedar Falls, Ia",,,CBSA,168404,66732,0,0,0,0
2900277,USA,39380,,"Pueblo, Co",,,CBSA,168135,59436,0,0,0,0
2899772,USA,20700,,"East Stroudsburg, Pa",,,CBSA,168128,80656,0,0,0,0
2899614,USA,13980,,"Blacksburg-Christiansburg, Va",,,CBSA,166304,62017,0,0,0,0
2900482,USA,48140,,"Wausau-Weston, Wi",,,CBSA,166222,71675,0,0,0,0
2900008,USA,27980,,"Kahului-Wailuku-Lahaina, Hi",,,CBSA,164765,95379,0,0,0,0
2899995,USA,27500,,"Janesville-Beloit, Wi",,,CBSA,163817,70630,0,0,0,0
2900439,USA,46180,,"Tupelo, Ms",,,CBSA,163378,59860,0,0,0,0
2900200,USA,36220,,"Odessa, Tx",,,CBSA,162300,70566,0,0,0,0
2899616,USA,14020,,"Bloomington, In",,,CBSA,161426,59998,0,0,0,0
2900354,USA,42680,,"Sebastian-Vero Beach, Fl",,,CBSA,160986,67543,0,0,0,0
2899984,USA,27100,,"Jackson, Mi",,,CBSA,160637,62581,0,0,0,0
2900395,USA,44300,,"State College, Pa",,,CBSA,158665,70087,0,0,0,0
2899977,USA,26820,,"Idaho Falls, Id",,,CBSA,158478,73337,0,0,0,0
2900087,USA,31460,,"Madera, Ca",,,CBSA,157243,73543,0,0,0,0
2899743,USA,19460,,"Decatur, Al",,,CBSA,156218,60036,0,0,0,0
2899914,USA,24300,,"Grand Junction, Co",,,CBSA,156131,68077,0,0,0,0
2899836,USA,16540,,"Chambersburg-Waynesboro, Pa",,,CBSA,156084,71808,0,0,0,0
2899780,USA,21060,,"Elizabethtown-Fort Knox, Ky",,,CBSA,155871,64111,0,0,0,0
2899961,USA,26140,,"Homosassa Springs, Fl",,,CBSA,155173,52569,0,0,0,0
2900145,USA,33780,,"Monroe, Mi",,,CBSA,154823,72573,0,0,0,0
2900342,USA,42140,,"Santa Fe, Nm",,,CBSA,154481,70522,0,0,0,0
2900188,USA,35660,,"Niles, Mi",,,CBSA,153938,60379,0,0,0,0
2899672,USA,18180,,"Concord, Nh",,,CBSA,153918,88806,0,0,0,0
2900432,USA,45900,,"Traverse City, Mi",,,CBSA,153733,73845,0,0,0,0
2900460,USA,47220,,"Vineland-Bridgeton, Nj",,,CBSA,153588,62310,0,0,0,0
2887293,USA,12620,,"Bangor, Me",,,CBSA,152640,59438,0,0,0,0
